Record Length,282
Measure Type,DCV
Vertical Scale,1000V  
Model Number,SHS806
Serial Number,SHS08CA4150115
Software Version,3.01.02.02R7





Value
4.2120,
4.2120,
4.2110,
4.2110,
4.2110,
4.2110,
4.2110,
4.2110,
4.2110,
4.2100,
4.2110,
4.2110,
4.2110,
4.2100,
4.2100,
4.2100,
4.2100,
4.2100,
4.2100,
4.2090,
4.2100,
4.2090,
4.2100,
4.2090,
4.2090,
4.2090,
4.2090,
4.2090,
4.2090,
4.2090,
4.2080,
4.2090,
4.2080,
4.2080,
4.2080,
4.2080,
4.2080,
4.2080,
4.2080,
4.2080,
4.2080,
4.2070,
4.2070,
4.2070,
4.2070,
4.2070,
4.2070,
4.2070,
4.2070,
4.2070,
4.2070,
4.2060,
4.2070,
4.2070,
4.2070,
4.2060,
4.2070,
4.2060,
4.2060,
4.2060,
4.2060,
4.2060,
4.2060,
4.2050,
4.2050,
4.2050,
4.2050,
4.2050,
4.2050,
4.2050,
4.2050,
4.2050,
4.2050,
4.2050,
4.2040,
4.2040,
4.2040,
4.2040,
4.2040,
4.2050,
4.2040,
4.2040,
4.2040,
4.2040,
4.2040,
4.2040,
4.2040,
4.2040,
4.2040,
4.2040,
4.2040,
4.2030,
4.2040,
4.2040,
4.2030,
4.2030,
4.2030,
4.2030,
4.2030,
4.2030,
4.2030,
4.2030,
4.2020,
4.2020,
4.2020,
4.2020,
4.2020,
4.2020,
4.2020,
4.2020,
4.2020,
4.2020,
4.2020,
4.2020,
4.2010,
4.2020,
4.2010,
4.2010,
4.2010,
4.2020,
4.2010,
4.2020,
4.2010,
4.2010,
4.2010,
4.2010,
4.2010,
4.2010,
4.2010,
4.2010,
4.2000,
4.2000,
4.2000,
4.2000,
4.2000,
4.2000,
4.2000,
4.2000,
4.2000,
4.2000,
4.2000,
4.2000,
4.2000,
4.2000,
4.2000,
4.2000,
4.1990,
4.1990,
4.2000,
4.2000,
4.2000,
4.2000,
4.1990,
4.1990,
4.1990,
4.1990,
4.1990,
4.1990,
4.1980,
4.1980,
4.1980,
4.1980,
4.1980,
4.1990,
4.1980,
4.1980,
4.1980,
4.1980,
4.1980,
4.1980,
4.1980,
4.1980,
4.1980,
4.1980,
4.1970,
4.1970,
4.1980,
4.1970,
4.1970,
4.1970,
4.1970,
4.1970,
4.1970,
4.1970,
4.1970,
4.1970,
4.1960,
4.1970,
4.1960,
4.1970,
4.1960,
4.1960,
4.1960,
4.1960,
4.1960,
4.1960,
4.1960,
4.1960,
4.1960,
4.1960,
4.1960,
4.1960,
4.1960,
4.1950,
4.1960,
4.1960,
4.1950,
4.1950,
4.1950,
4.1950,
4.1950,
4.1950,
4.1950,
4.1950,
4.1950,
4.1950,
4.1950,
4.1950,
4.1950,
4.1950,
4.1940,
4.1940,
4.1940,
4.1940,
4.1950,
4.1940,
4.1940,
4.1940,
4.1940,
4.1940,
4.1940,
4.1940,
4.1940,
4.1940,
4.1940,
4.1940,
4.1940,
4.1930,
4.1930,
4.1930,
4.1930,
4.1930,
4.1930,
4.1930,
4.1930,
4.1930,
4.1930,
4.1930,
4.1930,
4.1930,
4.1930,
4.1930,
4.1920,
4.1930,
4.1930,
4.1920,
4.1920,
4.1920,
4.1920,
4.1920,
4.1920,
4.1920,
4.1910,
4.1920,
4.1920,
4.1920,
4.1920,
4.1920,
4.1910,
4.1910,
4.1920,
4.1910,
4.1910,
4.1920,
4.1910,
4.1910,
4.1910,
4.1910,
4.1910,
4.1910,
4.1910,
4.1910,
